category_grouped,customer_state,state_share
costruction_tools_tools,PR,0.02323943622704591
costruction_tools_tools,RJ,0.06914008286973972
costruction_tools_tools,RS,0.07374135518956271
costruction_tools_tools,SC,0.034184464628137234
costruction_tools_tools,SP,0.40777131029760505
drinks,AL,0.00171317679370197
drinks,AM,0.002870019785742462
drinks,BA,0.024365487839516337
drinks,CE,0.019980735389076465
drinks,DF,0.013203264423178136
drinks,ES,0.02381812716368811
drinks,GO,0.017876537381179423
drinks,MG,0.09117386087030348
drinks,MS,0.009126704333087952
drinks,MT,0.0014339745321981638
drinks,PA,0.004340922181946692
drinks,PI,0.003898132934098258
drinks,PR,0.06036808452408439
drinks,RJ,0.2291663862564844
drinks,RS,0.04993993182495088
drinks,SC,0.04199043257714041
drinks,SP,0.40473422118962255
dvds_blu_ray,AL,0.006551749214133117
dvds_blu_ray,DF,0.02252429635585534
dvds_blu_ray,GO,0.0038432355075993427
dvds_blu_ray,MG,0.04647282636286675
dvds_blu_ray,MS,0.06840437807777852
dvds_blu_ray,PE,0.010530822035282028
dvds_blu_ray,PI,0.010407333568418784
dvds_blu_ray,PR,0.03773944756748302
dvds_blu_ray,RJ,0.09074893010964404
dvds_blu_ray,RN,0.005801213754419858
dvds_blu_ray,RO,0.006318493221169215
dvds_blu_ray,RS,0.034770235986460174
dvds_blu_ray,SC,0.011950939404209309
dvds_blu_ray,SP,0.6439360988346805
electronics,AC,0.0032418454225004536
electronics,AL,0.0036600351182090973
electronics,AM,0.0007063029453683789
electronics,AP,0.0035886511096858077
electronics,BA,0.04216096121387825
electronics,CE,0.024440513245186077
electronics,DF,0.01621511094426747
electronics,ES,0.026052148255054867
electronics,GO,0.0069659219162035374
electronics,MA,0.0037930777934950103
electronics,MG,0.1279158154966513
electronics,MS,0.009392102925236921
electronics,MT,0.007290699704300982
electronics,PA,0.018605162308659978
electronics,PB,0.014926989428067238
electronics,PE,0.014151101662401293
electronics,PI,0.010573731949157856
electronics,PR,0.06746766202297806
electronics,RJ,0.16758611668562298
electronics,RN,0.004229113491334477
electronics,RO,0.002274514304275795
electronics,RR,0.00038945131080587585
electronics,RS,0.05424382307074748
electronics,SC,0.05112398206063459
electronics,SE,0.008283511217938586
electronics,SP,0.308964576901438
electronics,TO,0.0017570774958995529
fashio_female_clothing,BA,0.026146089112451427
fashio_female_clothing,DF,0.04412115288340048
fashio_female_clothing,ES,0.03918933415977304
fashio_female_clothing,GO,0.07024936229050945
fashio_female_clothing,MG,0.15360752854792953
fashio_female_clothing,MT,0.017036379240470117
fashio_female_clothing,PB,0.045342932748468304
fashio_female_clothing,PR,0.03552101461367917
